PESC,URI
NoCredit,https://w3id.org/CEDStandards/terms/NI000057116219
Quarter,https://w3id.org/CEDStandards/terms/NI000057116669
Semester,https://w3id.org/CEDStandards/terms/NI000057116841
Units,https://w3id.org/CEDStandards/terms/NI000057117114
ClockHours,https://w3id.org/CEDStandards/terms/NI000057115440
CarnegieUnits,https://w3id.org/CEDStandards/terms/NI000057115402
ContinuingEducationUnits,https://w3id.org/CEDStandards/terms/NI000057115492
Unreported,https://w3id.org/CEDStandards/terms/NI000057117127
Other,https://w3id.org/CEDStandards/terms/NI000057116368
